"","PC1","PC2","PC3","PC4","PC5","PC6","Species","Outer_volume","log_Outer_volume"
"88",1.37911382082124,0.551673250327863,0.516214326390645,-0.488581494012615,0.151591118351735,-0.0189149679938935,"Anthus_pratensis",326.52,5.79154912191298
"92",1.40699040212449,0.573456751837858,0.447245735703854,-0.467122543827994,0.0255966164126003,-0.100154394137163,"Anthus_trivialis",305.87,5.72642420513703
"95",0.580226993844282,0.519014478790036,-0.334177270564752,-0.21348688196163,-0.423793168129099,0.191699572476896,"Aphelocoma_californica",798.49,6.6839740243784
"97",-1.50363522086923,-0.905548852273513,-0.503364453176206,-0.788039188330382,1.46306149040247,0.209339079954983,"Aphelocoma_unicolor",12376.3,9.42361942875318
"99",-0.158886779803971,0.556583347505101,-1.15361853214445,0.0617219837502057,-0.963668485158687,1.16229841728373,"Argya_altirostris",748.41,6.6192862302791
"100",-0.159348749551027,0.559660259708547,-1.15230524904809,0.0642464591997982,-0.963589818158524,1.16228627634804,"Argya_altirostris",706.77,6.56211918215862
"101",-0.636663361276338,0.415922968309296,-1.25825092320057,0.0921538826072658,-0.732843476013463,1.12358195789548,"Argya_caudata",1343.2,7.20355431953587
"104",-0.288423541845144,0.524818425759799,-1.30751708795889,0.10026374203364,-1.08887024098677,0.913887410030738,"Argya_squamiceps",1098.54,7.00264718950588
"115",1.42678222451935,0.568742182321872,0.275569802897428,-0.448614618394525,-0.222318412965556,-0.297947445752929,"Arundinax_aedon",819.76,6.71023074028555
"126",-1.37077942435392,0.273898703268508,-1.10307303927774,0.235957789873221,-0.154737868340806,-0.33050744184129,"Batis_molitor",97.39,4.58893917287767
"132",0.8926593222441,0.435203387817197,0.362659344434851,-0.425436080582686,0.299934798682932,-0.162726885642744,"Bombycilla_cedrorum",706.93,6.56234521874926
"133",0.889452937119296,0.456559257075548,0.371774424830626,-0.407914499178106,0.300480801317829,-0.162811152017047,"Bombycilla_cedrorum",417.92,6.03767997090494
"135",1.94283737516423,0.573215411895914,0.667312574906011,-0.622542708818965,-0.0439540179362887,-0.451372396028817,"Bombycilla_garrulus",1131.98,7.03260660862154
"136",1.94088165885752,0.586241302463237,0.672872266169868,-0.611855520244177,-0.0436209867453968,-0.45142379382288,"Bombycilla_garrulus",955.7,6.86348986268412
"138",0.640320017584776,-1.29441351919463,-1.04875866994712,2.51042917594145,-0.854779078659763,0.999278771105999,"Bucanetes_githagineus",127.04,4.85234271510166
"139",0.641639360579972,-1.30320089669785,-1.05250928536066,2.50321950686207,-0.855003744357635,0.999313444498727,"Bucanetes_githagineus",245.96,5.5092263801939
"140",1.78184617613982,-1.28360383700692,-0.0687772045972528,2.14461702895282,-0.374611696332677,0.0539375842784351,"Bucanetes_mongolicus",317.46,5.76349687842828
"142",0.624463957004693,0.494386103306586,0.0209972760559466,-0.280105850723596,0.013070967797816,0.123124191485515,"Calamospiza_melanocorys",243.01,5.49720920805995
"147",2.82996892904551,0.675711890917147,1.1573024726344,-0.805274136459963,-0.0669973378872471,-1.09510480529134,"Calcarius_lapponicus",912.5,6.81728337581806
"153",2.5462860032674,0.714028435746823,0.976551874912173,-0.685121576787776,-0.135040020340109,-0.902389942944057,"Calcarius_pictus",193.24,5.26909450787113
"154",2.54539789860236,0.719943585167711,0.979076570201892,-0.680268448551948,-0.134888788511025,-0.902413283047385,"Calcarius_pictus",113.19,4.73786372771356
"155",-1.34797270107178,0.31591224586233,-1.32019215435677,0.316201586937383,-0.528975648171174,-0.917012401743287,"Caligavis_chrysops",64.96,4.1890484976914
"157",1.76243401656354,-1.44269337392822,0.530529833595324,1.97032220965965,0.472891745967767,-0.235663034926019,"Cardellina_canadensis",465.65,6.14557951201176
"159",1.65188419560457,0.581661995954194,0.676740668214267,-0.536200067668686,0.136767714715651,-0.435416391037219,"Cardellina_pusilla",184.27,5.22181422056192
"160",1.65348799835756,0.570979997199869,0.672181393372521,-0.544964192812613,0.136494609491261,-0.435374241813769,"Cardellina_pusilla",328.83,5.79857737020924
"161",1.65252334250966,0.577405009593951,0.67492370761913,-0.539692743716982,0.136658876918355,-0.435399593743618,"Cardellina_pusilla",241.88,5.49256749420726
"163",0.303497059310616,0.584536225048131,-0.680495285369537,-0.0523346767589272,-0.73058926344697,0.321983714103284,"Cardellina_rubrifrons",199.72,5.30191090205817
"164",-0.193958558116342,0.301724789711995,-0.202364577439707,-0.201112905235945,0.356942620710666,0.409739894241108,"Cardinalis_cardinalis",910.44,6.81502576638986
