"","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"69","Ammospiza_maritima","Ammodramus_maritimus","Seaside Sparrow","Passerellidae","New World sparrows","BNA","L","272.27","94.25","366.52","10","2","7","6","5",22.16,"Not a Migrant",0,4.5,"9","Female",1,1,0,0,"2.15",31.76,"N",0,0,18.74,105.03
"70","Ammospiza_nelsoni","Ammodramus_nelsoni","Nelson's Sparrow","Passerellidae","New World sparrows","BNA","L","205.74","97.67","303.42","9.3000000000000007","1.5","6.7","6.3","4.7",15.11,"Full Migrant",1,4,"10.5","Excl_Female Care",1,0,0,0,"0.38",50.09,"N",0,0,7.93,62.59
"71","Ampelion_rufaxilla","Ampelion_rufaxilla","Chestnut-crested Cotinga","Cotingidae","Cotingas","NBO","L","NA","NA","471.24","15","NA","4","NA","NA",73.9,"Not a Migrant",0,1,"NA","NA",1,0,0,0,"12",6.15,"N",0,0,14.41,117.04
"72","Amphispiza_bilineata","Amphispiza_bilineata","Black-throated Sparrow","Passerellidae","New World sparrows","BNA","L","424.95","60.62","485.57","10.7","2.67","8.1","5.36","4.03",13.5,"Full Migrant",1,3.5,"9.5","Mainly Female",1,0,0,0,"0.35",32.76,"N",0,0,17.1,23.32
"73","Amphispiza_bilineata","Amphispiza_bilineata","Black-throated Sparrow","Passerellidae","New World sparrows","BNA","L","NA","NA","482.42","10.6","NA","8.1999999999999993","NA","NA",13.5,"Full Migrant",1,3.5,"9.5","Mainly Female",1,0,0,0,"0.35",32.76,"N",0,0,17.1,23.32
"74","Amphispiza_quinquestriata","Aimophila_quinquestriata","Five-striped Sparrow","Passerellidae","New World sparrows","BNA","L","347.65","148.08000000000001","495.72","10.199999999999999","1.75","9.1","6.7","6.3",19.53,"Not a Migrant",0,4,"9.5","Female",1,0,0,0,"0.85",28.42,"N",0,0,19.96,23.49
"75","Anairetes_flavirostris","Anairetes_flavirostris","Yellow-billed Tit-tyrant","Tyrannidae","Tyrant-flycatchers","HBW","L","158.08000000000001","20.85","178.92","6.75","1.63","7.5","3.5","3.25",6,"Full Migrant",1,2.5,"NA","NA",1,0,0,0,"1.5",-29.82,"S",0,0,15.34,45.87
"76","Andropadus_importunus","Andropadus_importunus","Sombre Greenbul","Pycnonotidae","Bulbuls","HBW","L","314.24","60.98","375.22","10.5","2.5","6.5","5.5","3.85",27.4,"Not a Migrant",0,2,"13.25","Female",1,0,0,0,"2.5",-18.41,"S",0,0,22.49,66.03
"77","Anisognathus_somptuosus","Anisognathus_somptuosus","Blue-winged Mountain-tanager","Thraupidae","Tanagers","HBW","L","NA","NA","692.37","12.4","NA","8.6","NA","NA",44.5,"Not a Migrant",0,2,"NA","Excl_Group Care",1,0,0,0,"5.5",-8.75,"S",0,0,17.5,135.14
"78","Anthochaera_lunulata","Anthochaera_lunulata","Western Wattlebird","Meliphagidae","Honeyeaters","HBW","L","412.74","68.63","481.37","12.7","3.15","5.7","6.4","3.2",61.8,"Not a Migrant",0,1,"NA","NA",1,0,0,0,"8.35",-32.54,"S",0,0,17.16,30.61
"79","Anthochaera_phrygia","Xanthomyza_phrygia","Regent Honeyeater","Meliphagidae","Honeyeaters","HBW","L","299.94","87.93","387.87","11.4","2.5","5.7","6.4","4.0999999999999996",39.99,"Nomadic",0,2,"16","Mainly Female",1,0,0,0,"15.5",-36.25,"S",0,0,15.91,65.14
"80","Anthornis_melanura","Anthornis_melanura","New Zealand Bellbird","Meliphagidae","Honeyeaters","HBW","L","NA","NA","NA","15","NA","NA","NA","3.38",26.91,"Not a Migrant",0,3,"16.5","Female",1,1,1,0,"8",-43.85,"S",1,0,10.63,164.33
"81","Anthus_berthelotii","Anthus_berthelotii","Berthelot's Pipit","Motacillidae","Pipits and wagtails","Tring","M","147.24","42.51","189.76","9.23","2.0299999999999998","4.2699999999999996","5.17","3.03",15.86,"Not a Migrant",0,3.5,"NA","Female",0,1,0,0,"0",28.75,"N",1,1,15.87,24.74
"82","Anthus_campestris","Anthus_campestris","Tawny Pipit","Motacillidae","Pipits and wagtails","BWP","L","NA","128.28","NA","10.5","1.75","NA","7","5",23,"Full Migrant",1,4.5,"13.5","Mainly Female",0,1,0,0,"0",47.13,"N",0,0,10.16,36.55
"83","Anthus_cervinus","Anthus_cervinus","Red-throated Pipit","Motacillidae","Pipits and wagtails","BWP","L","NA","105.96","NA","9","0.88","NA","7.25","3.85",20.9,"Full Migrant",1,5.5,"13","Both",0,1,0,0,"0",69.01,"N",0,0,-8.37,23.5
"84","Anthus_gustavi","Anthus_gustavi","Pechora Pipit","Motacillidae","Pipits and wagtails","BWP","L","335.63","39.6","375.22","10.5","2.5","6.5","5.5","2.5",19.8,"Full Migrant",1,4.5,"13","NA",0,1,0,0,"0",66.87,"N",0,0,-7.03,24.2
"85","Anthus_hodgsoni","Anthus_hodgsoni","Olive-backed Pipit","Motacillidae","Pipits and wagtails","Tring","M","301.66000000000003","55.9","357.56","11.58","2.82","5.05","5.94","2.99",21.3,"Full Migrant",1,4,"11.5","NA",0,1,0,0,"0",55.52,"N",0,0,2.14,40.65
