"","Outer_volume..cm3","Mean_temperature","Mean_rainfall","Range_midpoint_latitude","Insularity","Loc_rock","HBW_names"
"449",285.27,-0.41,33.34,61.94,0,0,"Fringilla_montifringilla"
"450",720.94,-0.41,33.34,61.94,0,0,"Fringilla_montifringilla"
"451",324.93,15.53,19.25,28.25,1,0,"Fringilla_teydea"
"452",419.33,15.53,19.25,28.25,1,0,"Fringilla_teydea"
"458",4028.36,6.87,46.87,53.44,0,0,"Garrulus_glandarius"
"459",1466.8,6.87,46.87,53.44,0,0,"Garrulus_glandarius"
"465",156.09,16.24,110.11,36.26,0,0,"Geothlypis_formosa"
"469",223.51,8.76,61.27,47.17,0,0,"Geothlypis_trichas"
"475",8777.71,14.92,148.84,0,0,0,"Grallaria_gigantea"
"485",790.51,23.61,35.13,-26.04,0,0,"Grallina_cyanoleuca"
"488",54.25,16.78,57.32,-36.55,0,0,"Grantiella_picta"
"492",11740.72,22.93,33.44,-26.79,0,0,"Gymnorhina_tibicen"
"495",223.34,24.5,172.38,-6.72,0,0,"Habia_rubica"
"497",449.78,12.89,62.03,40.18,0,1,"Haemorhous_mexicanus"
"498",121.54,12.89,62.03,40.18,0,1,"Haemorhous_mexicanus"
"502",1006.79,6.04,58.62,49.98,0,0,"Hesperiphona_vespertina"
"504",348.04,16.72,103.09,29.53,0,0,"Heterophasia_capistrata"
"506",203.35,7.72,47.89,54.89,0,0,"Hippolais_icterina"
"507",397.35,7.72,47.89,54.89,0,0,"Hippolais_icterina"
"511",230.15,13.01,57.83,42.4,0,0,"Hippolais_polyglotta"
"513",497.97,19.75,43.96,-29.8,0,1,"Hirundo_neoxena"
"514",421.86,24.32,138.49,-0.48,0,1,"Hirundo_nigrita"
"517",380.59,7.36,46.61,52.04,0,1,"Hirundo_rustica"
"518",611.74,12.47,97.05,40.78,0,0,"Hylocichla_mustelina"
"520",125.93,25.21,240.97,7.22,0,0,"Hylophylax_naevioides"
"525",1036.52,24.42,14.39,30.82,0,0,"Hypocolius_ampelinus"
"527",1797.5,21.07,188.96,1.75,0,0,"Hypopyrrhus_pyrohypogaster"
"531",517.05,26.56,190.84,-4.5,1,0,"Hypsipetes_crassirostris"
"532",398.07,26.56,190.84,-4.5,1,0,"Hypsipetes_crassirostris"
"534",570.94,23.02,139.06,-20.25,1,0,"Hypsipetes_olivaceus"
"542",273.01,6.32,34.23,55.16,0,0,"Iduna_caligata"
"543",135.63,6.32,34.23,55.16,0,0,"Iduna_caligata"
"545",194.62,16.48,33.81,40,0,0,"Iduna_pallida"
"546",167.71,16.48,33.81,40,0,0,"Iduna_pallida"
"547",175.27,16.79,18.38,41.04,0,0,"Iduna_rama"
"550",526.63,12.9,48.91,37.17,0,0,"Irania_gutturalis"
"551",415.21,12.9,48.91,37.17,0,0,"Irania_gutturalis"
"553",1776.37,0.57,43.24,61.27,0,0,"Ixoreus_naevius"
"555",226.64,2.45,46.55,56.21,0,1,"Junco_hyemalis"
"556",286.79,2.45,46.55,56.21,0,1,"Junco_hyemalis"
"562",104.59,23.67,33.29,-26.05,0,0,"Lalage_tricolor"
"567",119.64,20.91,43.38,-18.22,0,0,"Lanioturdus_torquatus"
"570",693.38,20.92,81.3,-8.16,0,0,"Lanius_collaris"
"572",588.7,7.62,47.54,54.09,0,0,"Lanius_collurio"
"574",760.09,0.44,36.86,59.39,0,0,"Lanius_cristatus"
"575",1526.35,15.67,27.35,60.53,0,0,"Lanius_excubitor"
"576",589.16,25.97,60.08,9.12,0,0,"Lanius_excubitoroides"
"578",2757.53,13.51,51.16,40.44,0,0,"Lanius_meridionalis"
"579",749.94,13.51,51.16,40.44,0,0,"Lanius_meridionalis"
"580",805.82,10.57,40.15,48.09,0,0,"Lanius_minor"
"581",402.38,10.57,40.15,48.09,0,0,"Lanius_minor"
"582",613.94,10.57,40.15,48.09,0,0,"Lanius_minor"
"583",305.13,15.69,47.89,39.69,0,0,"Lanius_nubicus"
"585",752.8,15.69,47.89,39.69,0,0,"Lanius_nubicus"
"586",516.71,22.38,104.04,26.54,0,0,"Lanius_schach"
"587",550.83,14.36,47.7,40.31,0,0,"Lanius_senator"
"588",456.84,14.36,47.7,40.31,0,0,"Lanius_senator"
"589",889.64,14.36,47.7,40.31,0,0,"Lanius_senator"
"590",506.28,14.36,47.7,40.31,0,0,"Lanius_senator"
"603",253.15,2.16,42.42,57.28,0,1,"Leiothlypis_celata"
"605",280.8,2.16,42.42,57.28,0,1,"Leiothlypis_celata"
"609",114.97,5.28,67.44,48.43,0,0,"Leiothlypis_ruficapilla"
"610",176.27,10.08,26.9,39.82,0,0,"Leiothlypis_virginiae"
"611",351.99,20.98,145.9,27.21,0,0,"Leiothrix_argentauris"
"612",325.8,17.3,135.77,28.92,0,0,"Leiothrix_lutea"
"613",351.84,17.3,135.77,28.92,0,0,"Leiothrix_lutea"
